Time;PIRP_value;Category
03-17;0;class 0
03-18;0;class 0
03-19;0;class 0
03-20;0;class 0
03-21;199;class 2
03-22;0;class 0
03-23;0;class 0
03-24;0;class 0
03-25;0;class 0
03-26;0;class 0
03-27;0;class 0
03-28;0;class 0
03-29;0;class 0
03-30;0;class 0
03-31;0;class 0
03-32;0;class 0
03-33;0;class 0
03-34;0;class 0
03-35;0;class 0
03-36;0;class 0
03-37;0;class 0
03-38;0;class 0
03-39;199;class 2
03-40;0;class 0
03-41;0;class 0
03-42;0;class 0
03-43;0;class 0
03-44;0;class 0
03-45;0;class 0
03-46;0;class 0
03-47;0;class 0
03-48;0;class 0
03-49;0;class 0
03-50;0;class 0
03-51;0;class 0
03-52;199;class 2
03-53;0;class 0
03-54;0;class 0
03-55;0;class 0
03-56;0;class 0
03-57;0;class 0
03-58;0;class 0
03-59;0;class 0
04-00;0;class 0
04-11;0;class 0
04-12;0;class 0
04-13;0;class 0
04-14;0;class 0
04-15;0;class 0
04-16;1;class 0
04-17;0;class 0
04-18;2;class 0
04-19;2;class 0
04-20;2;class 0
04-21;4;class 0
04-22;3;class 0
04-23;5;class 0
04-24;6;class 0
04-25;5;class 0
04-26;5;class 0
04-27;6;class 0
04-28;7;class 0
04-29;9;class 0
04-30;16;class 1
04-31;10;class 0
04-32;11;class 1
04-33;14;class 1
04-34;14;class 1
04-35;20;class 1
04-36;22;class 1
04-37;25;class 1
04-38;27;class 1
04-39;31;class 1
04-40;35;class 1
04-41;33;class 1
04-42;41;class 1
04-43;44;class 1
04-44;46;class 1
04-45;49;class 1
04-46;50;class 1
04-47;50;class 1
04-48;60;class 1
04-49;57;class 1
04-50;61;class 1
04-51;69;class 1
04-52;72;class 1
04-53;74;class 1
04-54;75;class 1
04-55;77;class 1
04-56;82;class 1
04-57;79;class 1
04-58;85;class 1
04-59;85;class 1
05-00;87;class 1
05-11;117;class 2
05-12;113;class 2
05-13;120;class 2
05-14;122;class 2
05-15;124;class 2
05-16;124;class 2
05-17;126;class 2
05-18;138;class 2
05-19;141;class 2
05-20;144;class 2
05-21;141;class 2
05-22;149;class 2
05-23;136;class 2
05-24;155;class 2
05-25;164;class 2
05-26;155;class 2
05-27;152;class 2
05-28;172;class 2
05-29;169;class 2
05-30;172;class 2
05-31;181;class 2
05-32;165;class 2
05-33;180;class 2
05-34;189;class 2
05-35;186;class 2
05-36;188;class 2
05-37;191;class 2
05-38;188;class 2
05-39;198;class 2
05-40;187;class 2
05-41;204;class 2
05-42;207;class 2
05-43;203;class 2
05-44;221;class 2
05-45;209;class 2
05-46;227;class 2
05-47;227;class 2
05-48;224;class 2
05-49;227;class 2
05-50;230;class 2
05-51;241;class 2
05-52;241;class 2
05-53;241;class 2
05-54;241;class 2
05-55;227;class 2
05-56;239;class 2
05-57;242;class 2
05-58;253;class 2
05-59;256;class 2
06-00;259;class 2
06-11;259;class 2
06-12;295;class 2
06-13;308;class 2
06-14;311;class 2
06-15;304;class 2
06-16;307;class 2
06-17;320;class 2
06-18;291;class 2
06-19;315;class 2
06-20;308;class 2
06-21;299;class 2
06-22;324;class 2
06-23;327;class 2
06-24;327;class 2
06-25;653;class 2
06-26;323;class 2
06-27;338;class 2
06-28;353;class 2
06-29;356;class 2
06-30;336;class 2
06-31;350;class 2
06-32;351;class 2
06-33;330;class 2
06-34;359;class 2
06-35;361;class 2
06-36;364;class 2
06-37;352;class 2
06-38;352;class 2
06-39;371;class 2
06-40;362;class 2
06-41;365;class 2
06-42;367;class 2
06-43;384;class 2
06-44;346;class 2
06-45;389;class 2
06-46;406;class 2
06-47;381;class 2
06-48;397;class 2
06-49;388;class 2
06-50;405;class 2
06-51;408;class 2
06-52;396;class 2
06-53;414;class 2
06-54;388;class 2
06-55;434;class 2
06-56;422;class 2
06-57;396;class 2
06-58;430;class 2
06-59;433;class 2
07-00;421;class 2
07-11;486;class 2
07-12;487;class 2
07-13;473;class 2
07-14;493;class 2
07-15;496;class 2
07-16;482;class 2
07-17;469;class 2
07-18;487;class 2
07-19;473;class 2
07-20;510;class 2
07-21;478;class 2
07-22;482;class 2
07-23;484;class 2
07-24;486;class 2
07-25;488;class 2
07-26;526;class 2
07-27;494;class 2
07-28;497;class 2
07-29;497;class 2
07-30;536;class 2
07-31;82;class 1
07-32;487;class 2
07-33;487;class 2
07-34;528;class 2
07-35;531;class 2
07-36;533;class 2
07-37;517;class 2
07-38;538;class 2
07-39;538;class 2
07-40;538;class 2
07-41;1000;class 2
07-42;530;class 2
07-43;552;class 2
07-44;575;class 2
07-45;575;class 2
07-46;580;class 2
07-47;561;class 2
07-48;563;class 2
07-49;526;class 2
07-50;548;class 2
07-51;548;class 2
07-52;589;class 2
07-53;593;class 2
07-54;597;class 2
07-55;600;class 2
07-56;602;class 2
07-57;604;class 2
07-58;608;class 2
07-59;567;class 2
08-00;572;class 2
08-11;628;class 2
08-12;601;class 2
08-13;624;class 2
08-14;649;class 2
08-15;606;class 2
08-16;610;class 2
08-17;613;class 2
08-18;659;class 2
08-19;618;class 2
08-20;598;class 2
08-21;577;class 2
08-22;645;class 2
08-23;649;class 2
08-24;651;class 2
08-25;673;class 2
08-26;673;class 2
08-27;681;class 2
08-28;682;class 2
08-29;662;class 2
08-30;665;class 2
08-31;622;class 2
08-32;649;class 2
08-33;627;class 2
08-34;698;class 2
08-35;698;class 2
08-36;703;class 2
08-37;658;class 2
08-38;706;class 2
08-39;709;class 2
08-40;688;class 2
08-41;668;class 2
08-42;691;class 2
08-43;694;class 2
08-44;694;class 2
08-45;724;class 2
08-46;724;class 2
08-47;703;class 2
08-48;656;class 2
08-49;656;class 2
08-50;656;class 2
08-51;656;class 2
08-52;737;class 2
08-53;740;class 2
08-54;644;class 2
08-55;719;class 2
08-56;722;class 2
08-57;748;class 2
08-58;749;class 2
08-59;726;class 2
09-00;754;class 2
09-11;765;class 2
09-12;765;class 2
09-13;779;class 2
09-14;704;class 2
09-15;732;class 2
09-16;788;class 2
09-17;735;class 2
09-18;766;class 2
09-19;740;class 2
09-20;742;class 2
09-21;799;class 2
09-22;798;class 2
09-23;775;class 2
09-24;620;class 2
09-25;754;class 2
09-26;754;class 2
09-27;754;class 2
09-28;784;class 2
09-29;731;class 2
09-30;788;class 2
09-31;788;class 2
09-32;790;class 2
09-33;821;class 2
09-34;821;class 2
09-35;874;class 2
09-36;798;class 2
09-37;798;class 2
09-38;803;class 2
09-39;777;class 2
09-40;805;class 2
09-41;835;class 2
09-42;777;class 2
09-43;807;class 2
09-44;781;class 2
09-45;781;class 2
09-46;784;class 2
09-47;842;class 2
09-48;841;class 2
09-49;816;class 2
09-50;816;class 2
09-51;814;class 2
09-52;817;class 2
09-53;707;class 2
09-54;707;class 2
09-55;851;class 2
09-56;851;class 2
09-57;856;class 2
